utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3007/3007-ssr.xml? Trying to re-download
utility_to_osm - ERROR - ssr:stedsnr = 451787. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 451791. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 451153: No priority spelling found for lang = no, using alt_name to get "[('no', 'Granumsetra')]"
utility_to_osm - ERROR - ssr:stedsnr = 451643. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 451846. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 247121: No priority spelling found for lang = no, using alt_name to get "[('no', 'Modalssetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 247121 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247263: No priority spelling found for lang = no, using alt_name to get "[('no', 'Vesetrudvollen')]"
utility_to_osm - WARNING - ssr:stedsnr = 247269 has multiple (13) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247615 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247671: No priority spelling found for lang = no, using alt_name to get "[('no', 'Sjørvollstangen')]"
utility_to_osm - WARNING - ssr:stedsnr = 248028: No priority spelling found for lang = no, using alt_name to get "[('no', 'Stigsrudåsen')]"
utility_to_osm - WARNING - ssr:stedsnr = 248211 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248163 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248355 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248403 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248467 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248500 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248618 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248711: No priority spelling found for lang = no, using alt_name to get "[('no', 'Persvoll')]"
utility_to_osm - ERROR - ssr:stedsnr = 452949. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 248813 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248852 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248853 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248856 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248899 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248909 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 452998: No priority spelling found for lang = no, using alt_name to get "[('no', 'Røsholmstranda')]"
utility_to_osm - ERROR - ssr:stedsnr = 452998. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 249310 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249328 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 453841. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 453852 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 454982 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 455190: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kroksrudsetra')]"
utility_to_osm - ERROR - ssr:stedsnr = 267607. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267632. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267517. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267816. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 268197 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 268304. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 268306. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 268670. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 268960. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 269723. No positions found, skipping
