utility_to_osm - WARNING - ssr:stedsnr = 147408 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 147356 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 147914 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 161813: No priority spelling found for lang = no, using alt_name to get "[('no', 'Elvdalsvegen')]"
utility_to_osm - ERROR - ssr:stedsnr = 161813. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 162566. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 163363 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 174762 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 175458 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 175922 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 176806. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 178067 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 179906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 262483 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189150 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189715 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 189911 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190009 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190079 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190322 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190258 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190604 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190609 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190610 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190616 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190620 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190622 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190623 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190505 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190518 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190521 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190524 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190562 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190816 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190877 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190759 has multiple (3) positions, using the first one!
